date,open_price,high_price,low_price,close_price,zhangfu,zhenfu,zongshou,chengjiaozonge,huanshoulv,chengjiaocishu
"1997-01-06,一",5.52,5.84,5.18,5.2,-53.48%,5.91%,"9,228,600","231,190,000",60.4,5969
"1997-01-07,二",5.1,5.29,4.87,5.12,-1.54%,8.16%,"2,299,300","53,991,000",15.05,5969
"1997-01-08,三",5.03,5.13,4.96,5.05,-1.37%,3.47%,"1,122,700","26,474,000",7.35,5969
"1997-01-09,四",5.04,5.28,5.04,5.19,2.77%,4.57%,"1,149,000","27,991,000",7.52,5969
"1997-01-10,五",5.18,5.22,5.08,5.13,-1.16%,2.64%,"873,600","20,952,000",5.72,5969
"1997-01-13,一",5.16,5.17,5.1,5.12,-0.19%,1.38%,"705,000","16,874,000",4.61,5969
"1997-01-14,二",5.16,5.29,5.1,5.17,0.98%,3.81%,"1,102,600","26,966,000",7.22,5969
"1997-01-15,三",5.19,5.2,5.14,5.17,0.00%,1.34%,"454,300","10,990,000",2.97,5969
"1997-01-16,四",5.18,5.22,5.13,5.15,-0.39%,1.79%,"479,500","11,589,000",3.14,5969
"1997-01-17,五",5.17,5.23,5.17,5.22,1.36%,1.31%,"526,500","12,815,000",3.45,5969
"1997-01-20,一",5.24,5.45,5.2,5.4,3.45%,4.76%,"1,739,000","43,923,000",11.38,5969
"1997-01-21,二",5.38,5.4,5.28,5.29,-2.04%,2.30%,"696,700","17,469,000",4.56,5969
"1997-01-22,三",5.31,5.4,5.28,5.36,1.32%,2.35%,"597,500","15,011,000",3.91,5969
"1997-01-23,四",5.47,5.61,5.31,5.32,-0.75%,5.49%,"1,249,800","31,770,000",8.18,5969
"1997-01-24,五",5.31,5.39,5.17,5.27,-0.94%,4.17%,"1,001,100","24,588,000",6.55,5969
"1997-01-27,一",5.28,5.31,5.23,5.25,-0.38%,1.52%,"494,000","12,199,000",3.23,5969
"1997-01-28,二",5.25,5.28,5.19,5.24,-0.19%,1.86%,"392,400","9,661,000",2.57,5969
"1997-01-29,三",5.24,5.27,5.22,5.26,0.38%,0.81%,"350,900","8,649,000",2.3,5969
"1997-01-30,四",5.24,5.26,5.18,5.21,-0.95%,1.52%,"494,800","12,091,000",3.24,5969
"1997-01-31,五",5.21,5.38,5.21,5.29,1.54%,3.17%,"560,500","13,986,000",3.67,5969
"1997-02-17,一",5.31,5.39,5.28,5.31,0.38%,2.15%,"340,800","8,517,000",2.23,5969
"1997-02-19,三",4.9,5.13,4.9,4.97,-6.40%,4.45%,"1,049,200","24,248,000",6.87,5969
"1997-02-20,四",4.56,4.92,4.56,4.88,-1.81%,7.17%,"1,021,600","22,436,000",6.69,5969
"1997-02-21,五",4.95,5.04,4.87,4.99,2.25%,3.64%,"776,900","17,858,000",5.08,5969
"1997-02-25,二",4.72,5.03,4.72,4.92,-1.40%,6.16%,"1,281,500","29,618,000",8.39,5969
"1997-02-26,三",4.92,5.03,4.89,5.01,1.83%,2.89%,"851,900","19,579,000",5.58,5969
"1997-02-27,四",4.99,5.06,4.95,4.99,-0.40%,2.19%,"629,000","14,697,000",4.12,5969
"1997-02-28,五",4.97,5.03,4.89,5.01,0.40%,2.92%,"545,200","12,600,000",3.57,5969
"1997-03-03,一",4.99,5.05,4.92,5.04,0.60%,2.59%,"614,800","14,305,000",4.02,5969
"1997-03-04,二",5.1,5.22,5.1,5.13,1.79%,2.43%,"973,100","23,501,000",6.37,5969
"1997-03-05,三",5.22,5.28,5.1,5.17,0.78%,3.46%,"623,400","15,100,000",4.08,5969
"1997-03-06,四",5.17,5.22,5.16,5.19,0.39%,1.20%,"571,600","13,855,000",3.74,5969
"1997-03-07,五",5.2,5.21,5.1,5.12,-1.35%,2.16%,"580,700","13,954,000",3.8,5969
"1997-03-10,一",5.12,5.23,5.11,5.13,0.20%,2.34%,"334,400","5,394,000",1.46,5969
"1997-03-11,二",5.19,5.27,5.11,5.24,2.14%,3.11%,"570,500","9,276,000",2.49,5969
"1997-03-12,三",5.24,5.48,5.18,5.48,4.58%,5.74%,"1,907,500","32,058,000",8.16,5969
"1997-03-13,四",5.48,5.52,5.29,5.35,-2.37%,4.13%,"1,195,500","20,237,000",5.11,5969
"1997-03-14,五",5.35,5.35,5.23,5.32,-0.56%,2.20%,"874,700","14,499,000",3.74,5969
"1997-03-17,一",5.32,5.37,5.27,5.3,-0.38%,2.00%,"1,061,400","17,710,000",4.54,5969
"1997-03-18,二",5.3,5.32,5.19,5.24,-1.13%,2.51%,"915,700","15,048,000",3.92,5969
"1997-03-19,三",5.25,5.43,5.18,5.36,2.29%,4.67%,"1,167,500","19,533,000",4.99,5969
"1997-03-20,四",5.4,5.42,5.2,5.2,-2.99%,4.12%,"828,600","13,846,000",3.54,5969
"1997-03-21,五",5.21,5.31,5.21,5.3,1.92%,1.90%,"660,700","10,897,000",2.83,5969
